titles,contents,type,news
"재계, 포항지진 성금 ‘소극 행보’ 까닭은","
			[서울신문]최순실 사태 이후 내부통제 강화 현금 대신 물품·구호봉사는 활발포항에서 지진 피해가 난 지 일주일이 넘었지만, 이전의 다른 재해 때에 비해 대기업의 성금 지원이 미온적이라는 평가가 나온다. 그 배경을 놓고 이런저런 분석이 나오는 가운데 재계에서는 ‘최순실 국정 농단’ 파문 이후 고액 기부금에 대한 기업의 내부 통제가 까다로워진 점 등이 하나의 이유가 됐을 것으로 보고 있다.현대자동차그룹은 23일 윤갑한 사장이 포항을 직접 방문해 지원금 20억원을 전달했다고 밝혔다. 지난 17일에는 포스코가 15억원을, 그 전날에는 KT&G가 5억원을 냈다. 하지만 이 밖에 이렇다 할 주요 대기업의 고액 기부는 없다. 삼성전자, LG그룹, SK그룹 등은 여전히 “검토중”이라고 전했다.이는 지난해 10월 4~5일 남부지방에 태풍 ‘차바’가 상륙했을 때와 비교해도 크게 차이 나는 것이라는 평가가 나온다. 당시 SK그룹은 재해 발생 이틀 만인 7일 50억원을 울산시에 건넸고, LG그룹은 11일 30억원, 삼성전자는 12일 80억원을 기탁했다.재계 관계자는 “포항 지진 같은 큰 아픔에 당연히 곧바로 기부하는 게 맞다”며 “하지만 지난해 미르재단과 K스포츠에 냈던 기부금이 문제가 되면서 현금 기탁이 조심스러워졌고, 내부 통제도 강화됐다”고 전했다. 실제로 지난 2월 삼성전자와 SK그룹은 10억원 이상의 기부금에 대해 반드시 이사회의 의결을 거치도록 규정을 신설했다. SK그룹은 성금을 기탁하겠다는 큰 방향을 결정했지만, 현재 이사회 등 안건 상정 등 내부 절차를 밟고 있다.통상 재난이 발생할 때 대기업 모금 창구 역할을 했던 전국경제인연합회의 기능이 약화된 것도 재계에서 꼽는 이유다.현금 기부와 달리 물품 및 구호 봉사는 활발하다. LG전자는 이재민의 임시 거처인 체육관 등에 전자레인지, 공기청정기, 건조기, 세탁기 등을 보냈다. SPC그룹, 하이트진로 등 식음료 업계는 물, 빵, 라면 등을 지원했고 이동통신 3사는 이재민 대피소에 실내 기지국을 설치하고 있다.이런 가운데 사회 전체적으로 기부문화가 약해지는 분위기가 이번 지진 피해에 반영됐다는 분석도 나오고 있다. 통계청 조사에 따르면 2013년 32.5%였던 현금 기부율(조사 대상 중 현금 기부를 한 시민의 비율)은 2015년 27.4%로 줄었고, 올해 24.3%로 더 하락했다.이경주 기자 kdlrudwn@seoul.co.kr▶  재미있는 세상[나우뉴스] ▶ [인기 무료만화] [페이스북]ⓒ 서울신문(www.seoul.co.kr), 무단전재 및 재배포금지
		",earthquake,seoul
"[뉴스 전에 책이 있었다] 조선시대 지진, 오늘을 경고하다","
			[서울신문]역사에 기록될 ‘2018학년도 대학수학능력시험’이 무사히 끝났다. 지난 15일 발생한 경북 포항 지역 지진으로 일주일 연기된 이번 수능은, 당일 한 차례 여진에도 별다른 사건·사고 없이 마무리되었다. 수능 연기라는 멘붕 상황을 이겨내고 꿋꿋하게 시험을 치른 수험생들에게 먼저 격려의 박수를 보낸다. ‘수능 연기’라는 사상 초유의 사태에서 보듯, 지진은 때로 인간의 삶을 송두리째 뒤바꾸기도 한다. 나라 밖 일로만 생각했던 지진이 이제 한국인 모두의 일상 공간까지 깊숙이 침투한 것이다.
	
		
뉴스12011년 일본 동일본 대지진, 연이은 쓰나미와 원전 파괴는 지진에 관한 경각심을 높였다. 이후 국내에 지진과 관련한 책들의 출간이 부쩍 늘어났다. 어린이 책부터 재난 대비용 책자까지 범주도 다양하다. 그중 가장 독특한 책은 ‘바람에도 흔들리는 땅’으로, 저자 최범영은 한국지질자원연구원에서 일하는 지질학자다. ‘소설로 읽는 조선시대 역사지진’이라는 부제처럼, 저자는 조선시대 지진과 재난 이야기를 논문이 아닌 스토리텔링 형식으로 풀어낸다.
	
		
책에 따르면 조선시대에도 규모 6.0 이상의 지진이 다수 발생했다. 특히 1454년 해남지진과 1810년 부령지진은 수많은 인명과 재산 피해로 이어졌다. 지금으로부터 300년도 더 전에 발생한 지진이지만, 오늘 우리에게 경각심을 주는 큰 지진도 다수 있다. 1643년 동래지진과 울산지진, 1681년 강릉지진은 현재 가동 중인 고리원전, 월성원전, 울진원전과 지극히 가까운 곳에서 일어났다. 한반도는 지진의 안전지대라는 오래된 믿음이 사실이 아님을 여실히 보여 주는 셈이다.
	
		
장동석 출판평론가저자는 조선시대 지진 양상을 살펴보기 위해 ‘조선왕조실록’, ‘승정원일기’, ‘해괴제등록’ 등 다양한 사료를 참고했다. 특히 ‘해괴제등록’은 조선의 자연재해와 천재지변이 발생할 때마다 지냈던 제사인 해괴제(解怪祭)에 관한 기록을 담은 문헌으로, 주로 17세기에 많이 기록되었다. ‘해괴제등록’ 등을 보면 한양에도 진도 5.0 이상의 지진이 제법 여러 번 일어났다. 이를 뒷받침하는 기록은 조선왕조실록에 등장한다. 인조 21년인 1643년 6월 9일 내용 중 한 대목은 다음과 같다. “서울에서 땅이 흔들리다. 경상도 대구, 안동, 김해, 영덕 등에서 땅이 흔들려 연대(봉수대)와 성가퀴(성벽 돌담)가 무너지다. 울산부에서는 땅이 꺼지고 물이 솟아나다.”흥미로운 것은 조선시대 지진의 사후 처리 과정이다. 조선시대에도 재난은 정치적 요소와 결부된 일이었다. 다시 말하면 피해를 입은 사람들을 구제하는 일보다 권력의 안위가 더 중요했다는 사실이다. “집권자는 재난으로부터 국민을 보호하거나 구출하는 문제보다는 그런 문제로부터 정권의 안보를 먼저 생각한다는 것. 이러한 시스템이 재난으로부터 희생자를 최대한 줄일 수 없게 만드는 요소가 되었다는 것”이라고 저자는 일갈한다. 관동대지진 당시 조선인들처럼, 억울한 희생양이 되어 목숨을 빼앗긴 사람들이 조선시대 내내 부지기수였다. 지진을 두고 막말을 내뱉는 사람들은 예나 지금이나 변함없는 속성을 지녔다. ‘바람에도 흔들리는 땅’은 어제를 교훈 삼아 오늘의 지진을 대비하는 책 중 하나다. 귀 있는 자는 들으라고 했던 옛 문헌의 기록은 오늘 우리 세대에 더 절실한 덕목이 되어야 한다.장동석 출판평론가▶  재미있는 세상[나우뉴스] ▶ [인기 무료만화] [페이스북]ⓒ 서울신문(www.seoul.co.kr), 무단전재 및 재배포금지
		",earthquake,seoul
“지진 신속한 대처” 文지지율 73.1%,"
			[서울신문]정부의 포항 지진에 대한 신속한 대처 등으로 문재인 대통령의 지지율이 4주째 상승세를 기록한 것으로 23일 나타났다.리얼미터가 tbs 의뢰로 지난 20~22일 전국 성인 남녀 1515명을 대상으로 설문조사한 결과(신뢰수준 95%에 표본오차 ±2.5% 포인트) 문 대통령이 ‘국정수행을 잘하고 있다’는 응답은 73.1%로 집계됐다. 지난주보다 1.5% 포인트 상승했다. ‘국정수행을 잘못하고 있다’는 평가는 1.9% 포인트 떨어진 22.3%였다.●4주째 상승… 보수·노년층 ↑리얼미터는 “박근혜 정부의 국가정보원 특수활동비 청와대 상납 의혹, 자유한국당 류여해 최고위원의 포항 지진 막말 논란, 수능 연기 결정 등 지진에 대한 정부의 신속한 대처 등이 지지율 상승세에 영향을 줬다”고 분석했다.지역별로는 대구·경북(58.7%→62.9%), 대전·충청·세종(71.6%→75.1%), 경기·인천(76.0%→78.1%), 서울(70.6%→72.0%)에서 주로 올랐다.또 보수층(40.4%→46.0%), 60대 이상(51.1%→60.0%), 바른정당 지지층(54.5%→65.7%)과 국민의당 지지층(60.2%→69.3%)에서 각각 상승 폭이 컸다.●국민의당 4.4%… 창당 후 최저치일간 지지율을 보면 류 최고위원 막말 논란과 한국당 최경환 의원에 대한 검찰 압수수색 보도가 이어진 20일 71.5%를 기록했다가 홍종학 중소벤처기업부 장관 임명, 한국당 홍준표 대표의 검찰 특수활동비 법무부 상납 의혹 제기가 불거진 21일 73.3%까지 상승했다.정당 지지율은 더불어민주당이 51.8%로 가장 앞섰지만 국민의당은 0.5% 포인트 내린 4.4%로 창당 이후 최저치를 기록했다. 자세한 내용은 중앙선거여론조사심의위원회 홈페이지를 참조하면 된다.김진아 기자 jin@seoul.co.kr▶  재미있는 세상[나우뉴스] ▶ [인기 무료만화] [페이스북]ⓒ 서울신문(www.seoul.co.kr), 무단전재 및 재배포금지
		",earthquake,seoul
“포항 지진 깊이 6.9㎞… 위치 1.5㎞ 더 남동쪽”,"
			[서울신문]규모 2.0 이상 여진 63회 발생지난 15일 경북 포항에서 발생한 규모 5.4 지진의 깊이가 당초 발표된 9.0㎞가 아니라 더 얕은 6.9㎞였던 것으로 분석됐다. 지난해 9월 12일 발생한 경주 지진보다 규모가 작았는데도 피해가 더 컸던 이유가 진원지가 얕았기 때문이라는 것이다. 경주 지진의 규모는 5.8이었고 깊이는 15㎞였다.기상청은 23일 한국지질자원연구원과 함께 포항 지진과 주요 여진을 정밀 분석한 결과를 발표했다. 본진의 위치는 기상청이 발표했던 지점에서 남동쪽으로 약 1.5㎞ 떨어진 북위 36.109도, 동경 129.366도로 정정됐다. 지진 발생 깊이는 6.9㎞로 앞서 발표됐던 9㎞에서 약 2.1㎞ 더 지상과 가까워졌다.본진의 단층면해는 북동 방향의 역단층성 우수향(오른쪽 지반이 남쪽으로 수평 이동) 주향이동단층으로, 규모 4.3의 여진은 북북동 방향의 역단층으로 각각 분석됐다.규모 3.5 이상의 주요 여진들은 본진과 달리 주향이동단층으로 분석됐으며, 주변의 소규모 단층들이 추가로 영향을 준 것으로 추정됐다.23일 현재 포항 지진에 따른 규모 2.0 이상의 여진은 모두 63회 발생했고, 규모 1.0∼2.0의 미소지진은 총 273회 발생했다.박기석 기자 kisukpark@seoul.co.kr▶  재미있는 세상[나우뉴스] ▶ [인기 무료만화] [페이스북]ⓒ 서울신문(www.seoul.co.kr), 무단전재 및 재배포금지
		",earthquake,seoul
"손보協, 지진피해 차량 무상 견인","
			[서울신문]23일 손해보험협회에 따르면 손보사들은 경북 포항 지역에서 지진 피해의 조속한 복구를 지원하기 위해 긴급출동서비스 특약에 가입하지 않았어도 지진 피해로 차량이 방치된 경우 긴급견인 서비스를 무상으로 제공하기로 했다.손보협회는 아울러 업계 공동으로 지진 피해 지역에 업계 공동 현장지원반을 설치·운영해 피해자에 대한 종합적인 보험상담, 보험금 지급, 보험가입 조회 서비스 안내 등을 제공할 예정이다.이두걸 기자 douzirl@seoul.co.kr▶  재미있는 세상[나우뉴스] ▶ [인기 무료만화] [페이스북]ⓒ 서울신문(www.seoul.co.kr), 무단전재 및 재배포금지
		",earthquake,seoul
"[비즈+] 부영, 포항 지진 이재민에 아파트","
			[서울신문]부영그룹은 경북 포항 지진으로 보금자리를 잃은 이재민들에게 아파트를 제공하기로 했다고 22일 밝혔다. 부영그룹은 포항시 원동에 있는 부영아파트 중 회사 보유분 전량인 52가구를 최장 2년간 이재민들이 거주할 수 있도록 제공하기로 포항시와 약정했다. 이에 따라 이재민들은 원동 부영아파트에 최장 2년 동안 임대료를 내지 않고 살 수 있다.▶  재미있는 세상[나우뉴스] ▶ [인기 무료만화] [페이스북]ⓒ 서울신문(www.seoul.co.kr), 무단전재 및 재배포금지
		",earthquake,seoul
서울 ~ 세종 ~ 포항 ‘핫라인’ 운영,"
			[서울신문]부상자 88명·이재민 1100여명
	
		
지진 피해 주민들 임대 아파트로 이사 - 지진 피해를 입은 경북 포항시 북구 대동빌라 주민들이 22일 오전 한국토지주택공사(LH) 임대 아파트인 장량동 휴먼시아 아파트로 이사하고 있다.포항 박윤슬 기자 seul@seoul.co.kr지난 15일 경북 포항 지진이 발생한 지 일주일이 지나면서 피해 규모가 눈덩이처럼 불어나고 있다. 주택 피해가 1만건을 넘었고 이재민도 1100명에 달했다.중앙재난안전대책본부(중대본)는 22일 오전 6시 상황보고서에서 민간시설 피해 규모가 모두 1만 2432건이라고 밝혔다. 이 가운데 주택은 1만 1501건으로 집계됐다. 전날 오후 5시(8293건)와 비교하면 하룻밤 사이에 피해 건수가 40% 가까이 늘어났다. 중대본 관계자는 “아직도 신고가 계속 들어오고 있는 상황”이라면서 “당분간은 신고 접수가 늘어날 것으로 보인다”고 설명했다.다행히 응급복구 또한 속도를 내고 있어 전체 피해시설의 응급복구율은 91.4%에 이른다. 부상자 수는 88명이다. 이 가운데 74명은 치료를 받고 귀가했고 14명은 입원 치료 중이다. 이재민 수는 1103명으로 이들은 학교와 복지시설 등 11곳에 머물고 있다.중대본은 대학수학능력시험 당일 포항 지역 상황관리에 만전을 기하고자 서울과 세종, 포항을 연결하는 ‘핫라인’인 통합지휘무선통신망(TRS)을 운영한다. TRS는 다수 사용자가 함께 한 채널을 활용해 소통할 수 있는 무선이동통신 서비스다.류지영 기자 superryu@seoul.co.kr▶  재미있는 세상[나우뉴스] ▶ [인기 무료만화] [페이스북]ⓒ 서울신문(www.seoul.co.kr), 무단전재 및 재배포금지
		",earthquake,seoul
"다행이야, 고생했어… 큰 지진 없이 수능 끝났다","
			[서울신문]“최선 다했다면 그걸로 충분하다” 마음 졸인 학부모들 자녀들 격려 올해 응원 키워드는 ‘워너원’ ‘급식체’ 응원 피켓 대거 동원
	
		
혹시나… 지진 대비  - 전국에서 대학수학능력시험이 치러진 23일 경북포항이동고에서 혹시 일어날지 모르는 지진에 대비해 응급구조사를 포함한 소방대원 4명이 시험 시작 전 건물 안으로 들어가고 있다. 이들은 고사장의 건물구조와 소방시설 등을 미리 파악해 지진 등 유사시에 학생들과 감독관을 대피시키는 임무를 맡았다. 소방관들 너머 운동장에는 만일의 사태에 학생들을 대피시킬 때 사용할 버스가 대기하고 있다.포항 박윤슬 기자 seul@seoul.co.kr“정말 고생했다. 최선을 다했다면 그걸로 충분하다.”2018학년도 대학수학능력시험이 치러진 23일 경북 포항 북구 유성여고 앞에서 학부모들은 시험을 치르고 나온 자녀들을 껴안고 등을 토닥이며 격려를 아끼지 않았다. 시험을 잘 봤는지 못 봤는지를 물어보는 부모는 거의 없었다. 지난 15일 포항 지진으로 수능이 연기되면서 포항 지역 수험생들의 마음고생이 특히나 심했던 까닭인지 부모들은 자녀가 시험을 무사히 치러냈다는 것만으로도 안심하는 모습을 보였다. 자녀들을 껴안고 눈물을 흘리는 부모도 적지 않았다. 아침에 긴장한 표정으로 시험장으로 들어갔던 수험생들도 모두 밝은 표정으로 교문을 나섰다.지진 발생 이후 새 고사장으로 지정된 포항제철중 앞의 분위기도 비슷했다. 고3 수험생들은 시험을 마치고 나오며 “고사장이 바뀌었다는 사실에 연연하지 않고 최선을 다했다”며 밝게 웃었다. 제자들을 응원하러 나온 권모 교사는 “이번 지진과 수능 연기로 혼란스러워하는 제자들을 보면서 마음이 짠했다”면서 “부디 다들 좋은 성적을 받았으면 좋겠다”고 말했다.이날 포항 지역 고사장에는 버스가 10여대씩 비상 대기를 했다. 학생들을 대피시키기 위한 차량이었다. 교육청 직원뿐만 아니라 경찰들도 학교 주변에 순찰차를 배치해 만일의 사태에 대비했다. 수능 2교시가 끝나고 지진의 영향이 없을 것으로 예측되면서 이들은 모두 안도하는 마음으로 철수했다.기상청에 따르면 이날 포항 북구 지역에서 규모 2.0 이하의 미세 여진이 4차례 발생했다. 하지만 규모가 크지 않아 수능을 치르는 데에는 아무런 영향을 주진 않았다.이날 수험생들을 고사장으로 실어 나른 경찰의 활약도 빛이 났다. 고사장인 서울 용산구 중경고에 도착하고 나서야 수험표를 경기 의정부 집에 두고 왔다는 사실을 알아차린 한 고3 학생은 경찰차를 타고 왕복 84㎞를 오간 끝에 고사장 입실에 성공했다. 경기 화성에서는 버스를 놓쳐 고사장까지 갈 방법이 없어 발을 동동 구르던 수험생이 경찰의 도움으로 가까스로 시험을 치렀다. 경찰은 이날 955명의 수험생을 고사장에 안착시켰고 수험표를 집에 두고 나온 13명이 시험을 볼 수 있도록 도왔다. 고사장을 잘못 찾아간 수험생 59명도 경찰의 도움이 없었다면 시험을 보지 못할 뻔했다. 경찰은 이날 하루에만 1만 112건의 ‘수험생 민원’을 처리했다.
	
		
 - 2018학년도 대학수학능력시험이 치러진 23일 서울 영등포구 여의도고 앞에서 학생들이 ‘니답이정답’이라고 쓴 손팻말을 들고 수험생들을 응원하고 있다.연합뉴스올해 수능 응원의 키워드는 ‘아이돌’과 ‘급식체’로 요약됐다. 이날 전국 수능 고사장 앞에서 펼쳐진 응원전에서는 아이돌 그룹 ‘워너원’의 노래 ‘나야 나’ 패러디가 가장 많이 등장했다. 학생들은 ‘오늘 밤 주인공은 나야 나’라는 가사를 ‘대학 합격 너야 너’, ‘1등급 주인공은 너야 너’ 등으로 바꿔 응원 구호로 외쳤다. 아울러 ‘수능 대박 인정? 어 인정’과 같은 ‘급식체’(급식을 먹는 초중고교생이 사용하는 일종의 은어)를 이용한 피켓도 대거 동원됐다.매년 수능 날마다 고사장 앞에서 펼쳐지는 ‘수능 응원’에 당대의 유행을 비롯해 시대상이 농축돼 있다는 분석이 나온다. 2000년 11월 15일 수능 날에는 ‘공동합격구역’이라는 응원 피켓이 눈길을 끌었다. 당시 큰 흥행을 기록한 영화 ‘공동경비구역 JSA’의 제목에서 차용한 것이다. 2002년에는 ‘월드컵 4강’의 열기가 수능까지 이어졌다. 재학생들은 수능 날 고사장 앞에서 응원 문구였던 ‘꿈★은 이루어진다’와 ‘오~필승 코리아’를 개사한 ‘오~필승 선배님’을 외쳤다. 신종플루의 확산으로 2707명의 수험생이 별도의 시험장에서 수능을 치른 2009년 수능 날에는 ‘수능 대박 확진이오’라는 문구가 등장했다. 스마트폰이 널리 확산되던 2012년에는 스마트폰의 잠금 상태를 해제하는 것에서 착안한 ‘풀어서 오답해제→해제하면 SKY’라는 피켓이 이목을 끌었다. 세월호 참사가 일어난 2014년 수능 날에는 단원고 1학년생들이 세월호 참사 여파로 심리치료를 받던 2학년생들을 대신해 수능 응원에 나섰다. 세월호 참사로 숨진 ‘단원고 2학년’ 세대가 수능을 치른 2015년에는 ‘유민 아빠’ 김영오씨가 트위터에 “전국에 우리 유민이 친구들, 천국에 있는 아이들이 응원합니다”라는 글을 남겼다. 2016년 수능 응원전에는 ‘이러려고 대박 났나’, ‘온 우주의 기를 모아 합격’ 등 ‘국정 농단’ 사태를 풍자한 문구들이 응원에 활용됐다.포항 이하영 기자 hiyoung@seoul.co.kr포항 이혜리 기자 hyerily@seoul.co.kr서울 기민도 기자 key5088@seoul.co.kr▶  재미있는 세상[나우뉴스] ▶ [인기 무료만화] [페이스북]ⓒ 서울신문(www.seoul.co.kr), 무단전재 및 재배포금지
		",earthquake,seoul
포항 특별재난지역 선포…지진 재발해도 수능 실시,"
			[서울신문]문재인 대통령이 역대 두 번째 강진이 발생한 경북 포항을 특별재난지역으로 선포했다. 정부는 또 포항에서 지진이 다시 발생하더라도 대학수학능력시험(수능)을 재연기하는 일은 없다고 밝혔다.
	
		
문재인 대통령문 대통령은 20일 청와대에서 수석보좌관회의를 열어 “오늘 오전 포항시를 특별재난지역으로 지정했다”면서 “정부는 모든 행정력을 동원해 신속한 피해 복구와 함께 입시 일정이 차질 없이 진행되도록 최선을 다하겠다”고 밝혔다. 이낙연 국무총리는 이날 오전 포항 지진 관계장관회의 겸 중앙안전관리위원회를 열어 포항특별재난지역 선포안을 의결하고 이를 문 대통령에게 건의했다. 지난 15일 포항 지진이 발생한 지 닷새 만이다. 지난해 경주 지진 때는 특별재난지역 선포까지 열흘이 걸렸다.특별재난지역은 ‘재난 및 안전관리기본법’에 따라 시·군·구별 피해액이 국고지원 기준(18억∼42억원)의 2.5배를 초과하면 선포할 수 있다. 포항시의 특별재난지역 선포 기준액은 90억원이다. 특별재난지역으로 선포된 포항은 피해복구비 중 지방비 부담액의 64.5%를 국고로 추가 지원받는다. 건강보험료 경감, 통신·전기·도시가스·지역난방 요금 감면, 병역의무 이행기일 연기 등 6개 항목의 간접 지원도 이뤄진다.문 대통령은 “23일로 연기된 수능일에도 여진이 있을 수 있다”면서 “모든 가능성에 대비해 지침을 미리 마련하겠다. 수험생과 학부모들께서는 너무 걱정 마시고 수능 시험장에서 이뤄지는 조치에 따라 주시고, 협조해 주실 것을 당부드린다”고 말했다.포항 지역에서 지진이 또 발생하더라도 2018학년도 수능은 예정대로 23일 치른다. 교육부는 이날 수능 시행 범부처 지원 대책과 포항 수능 시험장 운영방안을 발표하면서 재연기와 관련해 “출제 등에 2개월 이상 걸려 수능을 다시 보기는 불가능하다”고 밝혔다.피해가 상대적으로 심한 포항 북부 지역의 경우 학생들이 심리적으로 불안할 수 있어 진앙에서 가까운 4개 학교 대신 포항 남쪽에 대체 시험장 4곳을 설치했다. 포항 수험생 6098명 중 2045명은 남부의 포항제철중·오천고·포항포은중·포항이동중으로 고사장이 바뀐다. 포항 예비소집은 기존(15일 기준) 예비소집 장소에서 22일 오후 2시에 진행된다.이현정 기자 hjlee@seoul.co.kr김기중 기자 gjkim@seoul.co.kr▶  재미있는 세상[나우뉴스] ▶ [인기 무료만화] [페이스북]ⓒ 서울신문(www.seoul.co.kr), 무단전재 및 재배포금지
		",earthquake,seoul
‘지진연관설’ 포항 지열발전소 정밀조사,"
			[서울신문]시험 가동 이후 63차례 발생 모두 물주입 후 지진 일어나‘포항 지진’의 원인과 연관성이 있다는 주장이 제기된 지열발전소에 대해 정부가 정밀조사에 착수하기로 했다.산업통상자원부는 22일 “국내외 지질·지진 전문가로 조사단을 구성 중이며, 포항 지열발전에 대한 정밀진단을 실시할 계획”이라면서 “현재 지열발전소 공사는 중단됐으며 정밀진단 결과가 나올 때까지 계속 공사를 중단한다”고 밝혔다.앞서 최근 한 방송사는 지난해 1월 지열발전소 시험 가동 이후 정부에 보고한 물 주입량과 이 때문에 생긴 주변 지역의 진동 관측 데이터 등을 입수해 보도했다. 지열발전소에서 땅에 물을 주입한 직후 지진이 발생한 것으로 확인됐으며 여기에는 규모 3.0 이상의 지진도 포함돼 있다는 게 핵심이다.이날 국민의당 윤영일 의원이 산업부와 기상청으로부터 제출받은 자료에 따르면 지열발전소에서 지난해 1월 29일부터 올해 11월 15일까지 총 443회에 걸쳐 물 주입과 배출이 이뤄졌다. 인근 지역에서는 지난해 41회(규모 2.0 이상 8회), 올해 22회(규모 2.0 이상 2회) 등 총 63차례의 지진이 발생했다.또 기상청이 공식 발표한 포항에서 발생한 지진의 경우 모두 발전소 물 주입 이후 이뤄졌다. 지난해 12월 15~22일 사이 3681t의 물 주입 직후인 12월 23일 규모 2.2의 지진이 일어났다. 이어 12월 26~28일 226t의 물 주입 후인 29일에는 규모 2.3의 지진이 발생했다. 지난 3월 25~4월 14일 2793t의 물 주입 후인 15일에도 규모 3.1, 규모 2.0의 지진이 연속 발생했다.발전소는 지난 9월 18일에야 물 주입 작업을 중단했지만 이달 1일까지 물 배출 작업은 계속된 것으로 나타났다. 주무부처인 기상청은 이런 내용을 전혀 모르고 있었던 것으로 나타났다.산업부는 “지진 규모가 작아서 사업을 계속 진행해 왔지만 최근 규모 5.4 지진 이후 지열발전소가 원인을 제공했다는 주장이 나오자 국민 우려 해소 차원에서 이번 조사를 결정했다”고 말했다.세종 황비웅 기자 stylist@seoul.co.kr▶  재미있는 세상[나우뉴스] ▶ [인기 무료만화] [페이스북]ⓒ 서울신문(www.seoul.co.kr), 무단전재 및 재배포금지
		",earthquake,seoul
