"","people_names_temp","temp3"
"1","Abraham Lincoln","abraham lincoln (1809 – 1865) us president during american civil war"
"2","Adolf Hitler ","adolf hitler  (1889 – 1945) leader of nazi germany 1933 – 1945"
"3","Albert Einstein","al gore (1948 – ) us presidential candidate and environmental campaigner"
"4","Alfred Hitchcock","albert einstein (1879 – 1955) german scientist, theory of relativity"
"5","Amelia Earhart (","alfred hitchcock (1899 – 1980) english / american film producer, director"
"6","Angelina Jolie","amelia earhart (1897 – 1937) aviator"
"7","Anne Frank","angelina jolie (1975 – ) actress, director, humanitarian"
"8","Audrey Hepburn","anne frank (1929 – 1945) dutch jewish author who died in holocaust"
"9","Aung San Suu Kyi ","audrey hepburn (1929 – 1993) british actress and humanitarian"
"10","Babe Ruth","aung san suu kyi  (1945 – ) burmese opposition leader"
"11","Barack Obama","babe ruth (1895 – 1948) american baseball player"
"12","Benazir Bhutto","barack obama (1961 – ) us president 2008 – 2016"
"13","Bill Gates ","benazir bhutto (1953 – 2007) prime minister of pakistan 1993 – 1996"
"14","Billie Holiday","bill gates  (1955 – ) american businessman, founder of microsoft"
"15","Billie Jean King","billie holiday (1915 – 1959) american jazz singer"
"16","Bob Geldof","billie jean king (1943 – ) american tennis player and human rights activist"
"17","C.S. Lewis ","bob geldof (1951 – ) irish musician, charity worker"
"18","Carl Lewis","brad pitt (1963 – ) actor"
"19","Charles Darwin","c.s. lewis  (1898 – 1963) british author"
"20","Charles de Gaulle","carl lewis (1961 – ) us athlete and olympian"
"21","Christopher Columbus","charles darwin (1809 – 1882) british scientist, theory of evolution"
"22","Cleopatra","charles de gaulle (1890 – 1970) french resistance leader and president 1959 – 1969"
"23","Coco Chanel ","christopher columbus (1451 – 1506) italian explorer"
"24","Cristiano Ronaldo","cleopatra (69 – 30 bce) queen of egypt"
"25","Dalai Lama","coco chanel (1883 – 1971) french fashion designer"
"26","David Beckham","cristiano ronaldo (1985 – ) portuguese footballer."
"27","Desmond Tutu","dalai lama (1938 – ) spiritual and political leader of tibetans"
"28","Donald Trump ","david beckham (1975 – )  english footballer"
