,Date,User,Tweet
0,2022-09-23 21:51:55+00:00,MaxiMeeks,#LoveIsBlindJapan is wayyy better than the US version
1,2022-09-23 00:47:29+00:00,luzdemilhas,S01 | E05I've just watched episode Just the Two of Us of Love is Blind: Japan! #loveisblindjapan  https://t.co/lTQZT8XzdX #tvtime https://t.co/NZW6DkFR3O
2,2022-09-22 19:21:03+00:00,LittleHustler,"Let’s be real, Kaoru just wanted to promote her music career #LoveIsBlindJapan"
3,2022-09-22 14:58:07+00:00,LittleHustler,Why do I feel like a lot of these people just wanted a free holiday? #LoveIsBlindJapan
4,2022-09-22 09:10:01+00:00,LittleHustler,Ayano and Shuntaro make me uncomfortable ngl #LoveIsBlindJapan
5,2022-09-22 02:55:38+00:00,leeneugebauer,"I decided I need a palate cleanser from the US Love is Blind S2 before I watch S3, so I have been rewatching parts of Love is Blind Japan. 
Ryotaro and Motomi are still the most adorable people and couple. #LoveIsBlind #LoveIsBlindJapan"
6,2022-09-21 22:14:57+00:00,LittleHustler,Priya and Muzuki are such a hot couple 🥵 #LoveIsBlindJapan
7,2022-09-21 21:33:01+00:00,LittleHustler,Are they all getting engaged then?! 😳 #LoveIsBlindJapan
8,2022-09-21 20:43:56+00:00,LittleHustler,Not these grown ass women crying over a 23 year of hairdresser 😩 #LoveIsBlindJapan
9,2022-09-21 20:39:22+00:00,LittleHustler,Yudai really thinks this is a game 😩 #LoveIsBlindJapan
10,2022-09-21 20:34:04+00:00,LittleHustler,I hope Priya is relieved watching this back #LoveIsBlindJapan
11,2022-09-21 19:50:23+00:00,LittleHustler,"Midori-chan is gone, my girl is in love 😭 She’s actually the best fit for Wataru, I think, because she calls him out on his BS, but genuinely accepts him for who he is #LoveIsBlindJapan"
12,2022-09-21 18:52:32+00:00,LittleHustler,"Nanako is so genuine, Odacchi better not mess it up! #LoveIsBlindJapan"
13,2022-09-21 18:50:16+00:00,LittleHustler,"Omg the bridge thing is beautiful, the American version could never! #LoveIsBlindJapan"
