COMPETENCE,EXCITEMENT,RUGGEDNESS,SINCERITY,SOPHISTICATION
ABLE ,ACTIVE ,AL_FRESCO ,ABOVE_BOARD ,A_LA_MODE 
ABLE_BODIED ,AGGRESSIVE ,ALFRESCO ,ACCOMMODATING  ,ALLURING 
ADEPT ,ARTISTIC ,ANIMAL ,ACCURATE ,AMIABLE 
ADROIT ,ARTY ,ANIMALS ,ACTUAL ,ANGELIC 
ASSIDUOUS ,AUDACIOUS ,ARDUOUS ,AFFABLE ,APPEALING 
ASSURED ,AUDACITY ,BEEFY ,APPROACHABLE ,ARISTOCRACY 
ASTUTE ,AUTONOMOUS ,BOISTEROUS ,APPROACHING ,ARISTOCRAT 
AWARD_WINNING ,AVANT_GARDE ,BRUTAL ,AUTHENTIC ,ARISTOCRATIC 
BLOOMING ,AWE_INSPIRING  ,BUMPY ,BENEFICIAL ,ARISTOCRATICAL  
BOOMING ,AWESOME ,CALLOUS ,BENEVOLENT ,ATTRACTIVE 
BRAINY ,BOLD ,CHALLENGE ,BENIGN ,BARONIAL 
CELEBRATORY ,BOLDNESS ,CHALLENGING ,BLUNT ,BEAUTIFUL 
CERTIFIED ,BOOST ,COARSE ,BONAFIDE ,BLUE_BLOOD 
COMPETENCE ,BRACING ,CONFRONTATION  ,BRIGHT ,BLUE_BLOODED 
COMPETENT ,BRANDNEW ,COWBOY ,BUOYANT ,BRUSH_UP 
COMPLETE ,BRAND_NEW ,CRAGGED ,CANDID ,CAPTIVATE 
COMPREHENSIVE ,BRAVE ,CRAGGY ,CHARITABLE ,CAPTIVATING 
CONCERN ,BRAVERY ,CRIMSON ,CHEERFUL ,CELEBRATED 
CONCLUSIVE ,BREATHTAKING ,CRUDENESS ,CIVIL ,CHARISMATIC 
CONFINED ,BRISK ,CRUDITY ,CIVILISED ,CHARM 
CONGLOMERATE ,COLORFUL ,CRUEL ,CIVILITY ,CHARMING 
CONQUERING ,COLOURFUL ,DANGEROUS ,CIVILIZED ,CHERUBIC 
