"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"https://t.co/TJh4k6BbUj

DAILY VACCINE INJURY AND DEATH REPORT....UPDATED THROUGHOUT THE DAY!!!",FALSE,1,NA,2022-10-31 16:51:59,FALSE,NA,"1587125243004477447",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","firesti16018619",1,FALSE,FALSE,NA,NA
"Looking to get vaccinated or boosted against COVID-19? Check out the vaccination sites for this week.
For more info… https://t.co/dWdyhMreGQ",FALSE,0,NA,2022-10-31 16:51:56,TRUE,NA,"1587125227930017792",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","CityofSanJose",0,FALSE,FALSE,NA,NA
"@nytimes And anyone who said the Covid 19 Vaccine stops transmission should also be held accountable for spreading misinformation.",FALSE,0,"nytimes",2022-10-31 16:51:35,FALSE,"1586781288660623360","1587125140139163648","807095","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UntillAllAreOne",0,FALSE,FALSE,NA,NA
"⁦@JoeBiden⁩  ⁦@POTUS⁩ Biden   Why U.S. Doesn’t Have a Nasal Vaccine for COVID-19 | Time https://t.co/wCxKPb4dXz",FALSE,0,NA,2022-10-31 16:51:22,FALSE,NA,"1587125084971536384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LSteelback",0,FALSE,FALSE,NA,NA
"🚨🚨🚨🚨

“DHS’s mission to fight disinformation… began taking shape during the 2020 election and over efforts to shape… https://t.co/qNjwVK2bDK",FALSE,42,NA,2022-10-31 16:50:08,TRUE,NA,"1587124773460606979",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bennyjohnson",13,FALSE,FALSE,NA,NA
"Regular physical activity may boost the effectiveness of the COVID-19 vaccine.
https://t.co/yX345aGYke",FALSE,0,NA,2022-10-31 16:50:03,FALSE,NA,"1587124752816435200",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","DrTrypanis",0,FALSE,FALSE,NA,NA
"Good question. There's no good excuse why the US isn't  aggressively pursuing this
https://t.co/KkUyGYW9Ei… https://t.co/2USvuIrsSJ",FALSE,22,NA,2022-10-31 16:49:49,TRUE,NA,"1587124693949038593",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","EricTopol",6,FALSE,FALSE,NA,NA
"@ppforumca THIS organization, which pumps out pro-government propaganda (see link) received 2.5m of Trudeau's ""batt… https://t.co/nfYwL8DvzZ",FALSE,0,"ppforumca",2022-10-31 16:49:32,TRUE,NA,"1587124625510731783","126641811","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","amazonpyjamason",0,FALSE,FALSE,NA,NA
"@engineers_feed That the COVID-19 pandemic was a for-profit campaign. Advisors working for vaccine companies AND go… https://t.co/yhtNYkvwNY",FALSE,2,"engineers_feed",2022-10-31 16:48:52,TRUE,"1587121290137067521","1587124458539581441","3429950987","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jungle_Hero",0,FALSE,FALSE,NA,NA
"@ProfEmilyOster
782,913 people reported seeking medical attention via a telehealth appointment, urgent care clinic,… https://t.co/Q6vIh1VnZj",FALSE,0,"ProfEmilyOster",2022-10-31 16:47:44,TRUE,NA,"1587124171678654466","997040168","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","EricTemplar",0,FALSE,FALSE,NA,NA
